,GT_PC,RC_PC,T_Positive,F_Positive
network1,0.6087599138810431,0.6068045824246655,8,0
network2,0.6509762497389903,0.6585272691874423,4,0
network3,0.6851207904586402,0.6852489951798153,11,0
network4,0.7094559894314612,0.681774275186265,7,0
network5,0.7383849590399107,0.7530583837238599,12,0
network6,0.7658476026776987,0.7797851886903113,6,0
network7,0.7894383639199677,0.7854126846847967,11,1
network8,0.8117765568775089,0.8030510874961424,5,0
network9,0.8331847723435297,0.8166702887654809,9,2
network10,0.8495589045462085,0.8399367502857575,5,3
network11,0.856210792443069,0.8364120910029135,11,13
